"옵션 관리코드","옵션별상품코드","모델명","주문상품명","상품옵션","주문품목 단가","주문품목 수량","주문품목 결제금액","부가세여부","주문번호","주문상태(품목별)"
"","M1240839-00000000001","","DANOPAD 단오 순면 유기농 면생리대 미니 소형 중형 대형 오버나이트","단오면생리대 : (선택1)면생리대미니(무방수)5매입","4950","1","4950","면세","20200605082434-34418368178","배송완료"
"","M1241204-00000000001","CDCABMAR01","CDCABMAR01 첨이첨이 CSC 남아 3부 세트 01 면슬럽 남아동 실내복 상하세트","사이즈 : 01/60(3~4세)","8100","1","8100","부가세","20200605082434-34418368178","배송완료"
"","M1241231-00000000002","D4CABMAR05","D4CABMAR05 첨이첨이 CSC 키남아 3부 세트 03 순면 듀퐁 남아동 실내복 상하세트","사이즈 : 05/65(5~6세)","5850","1","5850","부가세","20200605082434-34418368178","배송완료"
"","M1241261-00000000003","C6CABAAC02","C6CABAAC02 첨이첨이 그레이 에어 메쉬 남아동 민소매 런닝","사이즈 : 70(7~8세)","4000","2","8000","부가세","20200605082434-34418368178","배송완료"
"","M1241265-00000000006","CDCABACH13","CDCABACH13 첨이첨이 CSC 공아 이지 바지 07 폴리 플리츠 아동 공용 7부 하의 팬츠","사이즈 : 14/85(13~14세)(+675)","7200","1","7875","부가세","20200605082434-34418368178","배송완료"
"","M1241305-00000000005","CDCABACH01","CDCABACH01 첨이첨이 CSC 공아 이지 바지 01 리오셀 아동 공용 와이드 7부 팬츠","사이즈 : 02/80(11~12세)(+675)","6750","1","7425","부가세","20200605082434-34418368178","배송완료"
"","M1241306-00000000005","CDCABACH03","CDCABACH03 첨이첨이 CSC 공아 이지 바지 02 리오셀 아동 공용 와이드 7부 팬츠","사이즈 : 04/80(11~12세)(+675)","6750","1","7425","부가세","20200605082434-34418368178","배송완료"
"","M1241310-00000000001","PMT369-1","PMT369-1 폴밋 쿨 인견 남성 인밴드 트렁크 사각 팬티 세트 3매입","사이즈 : 95","14430","1","14430","부가세","20200605082434-34418368178","배송완료"
"","M1241391-00000000001","INC161","INC161 인콘트로 자외선 차단 여성 쁘띠 레이스 스마트 장갑","색상 : 그레이","3900","1","3900","부가세","20200605082434-34418368178","배송완료"
"","M1241695-00000000001","GFT7500","GFT7500 BYC 여성 고탄력 누드 앵클 삭스 발목 스타킹 10족 세트","색상 : 블랙(10족)","2505","2","5010","부가세","20200605082434-34418368178","배송완료"
"","M1241695-00000000002","GFT7500","GFT7500 BYC 여성 고탄력 누드 앵클 삭스 발목 스타킹 10족 세트","색상 : 살구(10족)","2505","1","2505","부가세","20200605082434-34418368178","배송완료"
"","M1241889-00000000001","AP1014S2","AP1014S2 아놀드파마 남성 스니커즈 양말 2족 선물 세트","구성 : 2족세트(색상혼합)","3795","5","18975","부가세","20200605082434-34418368178","배송완료"
"","M1242186-00000000003","CDCBBMAC03","CDCBBMAC03 첨이첨이 CFC 남아 런닝 02 순면 편면 남아동 민소매 나시","사이즈 : 03/70(9~10세)","3150","1","3150","부가세","20200605082434-34418368178","배송완료"
